2016-09-12,23:03,2,M
2016-03-05,11:57,3,G
2015-10-27,08:59,4,M
2016-10-11,01:34,3,P
2015-10-23,19:21,2,G
2016-09-11,10:17,3,G
2016-09-07,04:21,2,M
2015-09-10,05:12,3,P
2015-11-30,06:28,2,M
2016-02-25,00:02,3,G
2016-05-30,07:54,4,P
2016-06-17,14:21,2,M
2016-01-11,05:58,2,P
2015-11-24,12:58,2,G
2015-12-16,22:12,3,G
2015-11-29,07:43,3,P
2016-11-16,21:52,2,P
2015-08-04,08:04,2,G
2016-02-02,17:15,2,G
2016-03-28,17:23,3,M
2016-10-18,02:59,2,P
2016-03-27,09:07,4,G
2015-10-28,03:24,3,G
2015-06-27,16:01,3,P
2016-01-19,21:42,4,G
2016-11-23,01:21,4,P
2016-11-12,19:00,4,G
2016-06-10,07:53,3,M
2016-01-01,09:38,4,P
2016-03-23,00:41,2,G
2015-09-28,15:08,2,M
2016-05-16,19:15,3,G
2016-07-07,15:50,4,M
2016-04-26,02:32,4,P
2015-11-04,19:58,3,M
2015-10-30,22:37,3,P
2015-08-23,20:54,2,P
2015-11-14,06:22,3,G
2016-05-22,00:45,3,M
2015-09-23,09:35,4,G
2016-10-19,11:50,3,G
2016-02-03,10:02,2,P
2015-11-21,16:08,2,G
2015-08-06,09:50,3,P
2015-06-07,20:45,2,P
2015-09-11,21:32,4,G
2015-09-10,20:04,4,G
2015-11-11,17:44,2,P
2016-10-25,11:33,3,M
2016-06-28,01:39,3,G
2016-06-03,15:07,2,G
2016-01-26,12:53,4,M
2016-06-09,06:02,3,M
2016-03-21,22:23,4,G
2016-01-29,16:58,2,P
2016-08-08,20:12,2,G
2016-11-28,09:49,4,G
2015-09-04,23:41,2,P
2015-10-31,12:48,2,M
2015-10-14,15:08,3,G
2016-09-02,07:59,4,G
2016-07-27,08:14,4,G
2016-05-06,14:43,4,M
2016-07-06,11:10,3,M
2015-10-27,13:24,4,G
2016-10-23,08:07,3,M
2016-04-09,01:44,3,M
2016-09-09,10:11,3,P
2015-09-16,01:04,3,P
2015-10-05,22:11,4,P
2016-03-14,20:56,4,M
2016-11-22,13:32,4,M
2015-11-23,17:46,3,M
2016-01-08,14:02,4,M
2015-08-06,18:25,3,M
2016-01-12,05:56,2,P
2016-11-01,14:06,3,M
2016-04-29,02:52,3,G
2016-06-20,20:22,4,M
2015-06-20,03:49,3,P
2016-01-21,08:02,4,P
2016-11-01,17:53,3,G
2016-10-10,16:39,4,P
2016-06-29,08:38,3,M
2016-07-15,06:10,4,G
2015-06-18,06:30,4,P
2015-11-07,06:56,2,P
2015-08-17,11:24,2,G
2015-11-12,07:02,4,G
2015-11-24,12:51,3,G
2016-04-08,17:02,3,P
2016-02-10,05:23,4,P
2015-11-13,15:19,4,P
2015-12-27,12:01,2,G
2015-06-14,00:27,4,G
2015-09-09,09:40,4,G
2016-11-05,16:41,3,M
2016-08-21,06:34,2,P
2016-10-03,07:14,2,M
2015-09-12,15:15,3,M
