2016-07-11,01:34,4,M
2016-10-29,01:48,4,M
2015-12-25,14:48,3,M
2016-07-25,16:48,2,G
2015-12-21,11:53,4,M
2016-03-03,12:57,3,P
2016-10-13,10:36,4,M
2016-01-26,10:59,3,G
2016-04-22,07:14,3,M
2015-12-16,19:01,3,M
2015-11-14,18:27,2,M
2016-07-27,21:41,2,G
2016-11-13,19:49,4,P
2015-08-02,00:16,3,M
2016-07-07,08:16,2,M
2016-08-09,15:06,3,G
2016-02-03,04:52,4,M
2015-09-06,06:48,4,P
2016-03-12,20:55,4,G
2015-11-26,18:18,2,M
2015-07-20,19:18,4,G
2016-10-18,21:20,2,M
2016-02-27,08:23,4,G
2016-07-22,20:29,2,G
2016-10-23,20:27,3,P
2015-12-27,02:38,2,M
2015-07-11,03:19,4,G
2016-08-12,04:19,4,P
2016-06-22,23:42,4,P
2015-08-18,22:09,3,M
2016-11-05,17:22,3,P
2016-05-01,04:54,4,G
2016-11-23,19:01,2,G
2016-03-30,04:50,2,M
2016-05-28,13:42,4,P
2016-05-02,13:05,4,P
2016-10-29,11:56,2,M
2015-12-31,22:21,3,P
2016-01-14,13:03,4,P
2016-07-21,12:49,2,G
2016-03-02,06:27,3,P
2016-09-01,16:51,3,M
2016-10-05,17:44,2,P
2016-11-02,05:02,4,M
2015-06-07,18:42,2,M
2015-07-19,14:15,4,G
2015-09-17,23:20,2,P
2015-07-07,00:19,3,G
2016-01-13,20:33,2,G
2016-06-06,12:11,2,G
2016-11-16,20:28,3,M
2015-11-25,19:15,3,M
2015-11-01,13:22,4,G
2016-01-19,02:34,3,M
2016-11-05,14:31,4,G
2015-07-18,05:56,3,M
2015-09-15,04:19,3,M
2015-12-28,11:35,2,G
2016-11-18,00:06,4,M
2015-07-23,01:07,3,M
2016-02-22,13:20,3,G
2015-12-01,20:00,4,P
2015-08-14,15:45,3,G
2015-11-07,13:12,2,P
2016-09-30,12:51,3,G
2015-09-22,11:51,4,M
2016-06-12,22:07,4,P
2016-07-25,10:33,2,G
2015-08-10,18:56,4,M
2016-11-28,08:29,4,P
2015-07-02,13:38,2,G
2015-08-09,19:41,3,P
2016-07-18,16:41,4,G
2016-07-24,11:58,2,P
2016-06-06,06:07,4,G
2015-06-04,23:34,2,P
2015-08-05,20:53,2,P
2015-12-17,02:41,3,P
2016-08-01,17:59,3,P
2015-07-08,02:04,2,G
2016-01-27,22:09,2,P
2015-07-14,17:04,3,P
2015-10-19,06:57,2,G
2015-09-26,07:40,4,G
2015-11-06,11:34,2,M
2016-06-10,01:09,2,G
2016-09-20,23:10,2,M
2016-10-08,04:07,2,M
2016-08-04,14:39,3,M
2015-08-10,00:54,2,G
2015-10-03,16:51,4,P
2016-11-23,01:19,3,G
2016-03-02,03:17,2,G
2016-07-19,19:19,3,P
2016-06-10,12:48,4,P
2015-12-24,05:58,2,P
2016-07-20,05:52,2,M
2015-09-13,17:05,2,P
2016-11-22,00:07,4,G
2016-01-28,01:36,3,G
